Rank,Name,Console,Publisher,Total_shipped,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Release_Date,Last_Date
240,The Witcher 3: Wild Hunt,PS4,Warner Bros. Interactive Entertainment,10.80m,N/A,N/A,N/A,N/A,N/A,19th May 15
241,Call of Duty: Modern Warfare 2,PS3,Activision,N/A,10.61m,4.99m,3.66m,0.38m,1.59m,10th Nov 09
242,Farming Simulator,Series,Astragon,10.58m,N/A,N/A,N/A,N/A,N/A,14th Apr 08
243,Grand Theft Auto IV,PS3,Rockstar Games,N/A,10.57m,4.79m,3.73m,0.44m,1.62m,29th Apr 08
244,Super Mario All-Stars,SNES,Nintendo,10.55m,N/A,N/A,N/A,N/A,N/A,01st Aug 93
245,Rocket League,Series,Psyonix,10.50m,N/A,N/A,N/A,N/A,N/A,07th Jul 15
246,Call of Duty: Ghosts,X360,Activision,N/A,10.41m,6.76m,2.64m,0.04m,0.98m,05th Nov 13
247,Tomodachi,Series,Nintendo,10.31m,N/A,N/A,N/A,N/A,N/A,06th Jun 14
248,Persona,Series,Atlus,10.20m,N/A,N/A,N/A,N/A,N/A,01st Nov 96
249,Just Dance 3,Wii,Ubisoft,N/A,10.14m,5.95m,3.13m,N/A,1.06m,07th Oct 11
