Rank,Name,Console,Publisher,Total_shipped,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Release_Date,Last_Date
962,NBA 2K19,PS4,2K Sports,N/A,2.63m,1.69m,0.44m,0.03m,0.47m,11th Sep 18
963,ESPN NFL 2K5,PS2,Sega,N/A,2.62m,2.15m,0.12m,N/A,0.36m,20th Jul 04
964,Madden NFL 18,PS4,EA Sports,N/A,2.62m,1.73m,0.42m,N/A,0.47m,25th Aug 17
965,FIFA Soccer 10,X360,EA Sports,N/A,2.62m,0.60m,1.79m,0.01m,0.23m,20th Oct 09
966,LittleBigPlanet,PSP,Sony Computer Entertainment,N/A,2.61m,0.65m,1.27m,0.01m,0.68m,17th Nov 09
967,Harry Potter and the Chamber of Secrets,PS2,Electronic Arts,N/A,2.61m,0.90m,1.22m,0.04m,0.44m,14th Nov 02
968,Mario Strikers Charged,Wii,Nintendo,2.60m,N/A,N/A,N/A,N/A,N/A,30th Jul 07
969,Monster Hunter 3G,3DS,Capcom,2.60m,N/A,N/A,N/A,N/A,N/A,19th Mar 13
970,Streets of Rage,GEN,Sega,N/A,2.60m,1.86m,0.55m,0.11m,0.08m,31st Dec 90
971,Grand Theft Auto: Episodes from Liberty City,X360,Rockstar Games,N/A,2.60m,1.08m,1.22m,0.03m,0.27m,29th Oct 09
972,LEGO Star Wars: The Complete Saga,X360,LucasArts,N/A,2.59m,1.53m,0.83m,N/A,0.24m,06th Nov 07
973,Mario + Rabbids: Kingdom Battle,NS,Ubisoft,N/A,2.59m,1.10m,1.08m,0.22m,0.20m,29th Aug 17
974,Tom Clancy's The Division,XOne,Ubisoft,N/A,2.59m,1.54m,0.82m,N/A,0.24m,08th Mar 16
975,FIFA Soccer 09,PS3,Electronic Arts,N/A,2.59m,0.49m,1.63m,0.04m,0.43m,14th Oct 08
976,NBA Live 2005,PS2,EA Sports,N/A,2.59m,2.03m,0.21m,N/A,0.35m,28th Sep 04
977,Hotline Miami,PC,Devolver Digital,2.58m,N/A,N/A,N/A,N/A,N/A,23rd Oct 12
978,Fire Emblem: Three Houses,NS,Nintendo,2.58m,N/A,N/A,N/A,N/A,N/A,26th Jul 19
979,Bastion,PC,Warner Bros. Interactive Entertainment,2.58m,N/A,N/A,N/A,N/A,N/A,16th Aug 11
980,WWE SmackDown vs. RAW 2007,PS2,THQ,N/A,2.58m,1.40m,0.88m,0.03m,0.26m,14th Nov 06
981,Skylanders Giants,Wii,Activision,N/A,2.58m,1.49m,0.86m,N/A,0.23m,21st Oct 12
982,Ratchet & Clank: Up Your Arsenal,PS2,Sony Computer Entertainment,N/A,2.57m,1.31m,0.74m,0.31m,0.22m,03rd Nov 04
983,Madden NFL 08,PS2,EA Sports,N/A,2.57m,2.14m,0.08m,N/A,0.35m,14th Aug 07
984,Clubhouse Games,DS,Nintendo,2.57m,N/A,N/A,N/A,N/A,N/A,09th Oct 06
985,NBA 2K14,X360,2K Sports,N/A,2.57m,2.11m,0.19m,0.00m,0.27m,11th Oct 13
986,Ratchet & Clank Future: Tools of Destruction,PS3,Sony Computer Entertainment,N/A,2.57m,0.93m,1.10m,0.08m,0.45m,23rd Oct 07
987,Hot Shots Golf,PS,Sony Computer Entertainment,N/A,2.56m,0.26m,0.17m,2.13m,N/A,05th May 98
988,Dragon Age: Origins,X360,Electronic Arts,N/A,2.56m,1.76m,0.55m,0.03m,0.22m,03rd Nov 09
989,Kirby Star Allies,NS,Nintendo,2.56m,N/A,N/A,N/A,N/A,N/A,16th Mar 18
990,Kirby: Triple Deluxe,3DS,Nintendo,2.56m,N/A,N/A,N/A,N/A,N/A,02nd May 14
